"FileName","FullPath","SizeKB","Reason"
"385WHHPM__Diapositiva349.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\385WHHPM__Diapositiva349.JPG","182","Could not parse NFT number from filename"
"39EMISUI__Diapositiva986.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\39EMISUI__Diapositiva986.JPG","76.2","Could not parse NFT number from filename"
"39KPRUHP__Diapositiva106.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\39KPRUHP__Diapositiva106.JPG","149","Could not parse NFT number from filename"
"39P6VL4V__Diapositiva479.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\39P6VL4V__Diapositiva479.JPG","92","Could not parse NFT number from filename"
"39VSQ49I__Diapositiva116.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\39VSQ49I__Diapositiva116.JPG","116.5","Could not parse NFT number from filename"
"39Y2FH86__Diapositiva945.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\39Y2FH86__Diapositiva945.JPG","130.6","Could not parse NFT number from filename"
"39ZXNFL3__Diapositiva342.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\39ZXNFL3__Diapositiva342.JPG","72.7","Could not parse NFT number from filename"
"3ACPIE7N__Diapositiva525.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3ACPIE7N__Diapositiva525.JPG","95.5","Could not parse NFT number from filename"
"3B3MVAC7__Diapositiva212.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3B3MVAC7__Diapositiva212.JPG","77.3","Could not parse NFT number from filename"
"3BCKF2VG__Diapositiva538.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3BCKF2VG__Diapositiva538.JPG","145.4","Could not parse NFT number from filename"
