"NFTNumber","DisplayTitle","FileName","FullPath","Extension","SizeKB","InExpectedRange"
"20","Light Cult Crypto Club #20","93YK3YSG__Diapositiva20.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\93YK3YSG__Diapositiva20.JPG",".JPG","156.4","True"
"21","Light Cult Crypto Club #21","65KWLQWS__Diapositiva21.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\65KWLQWS__Diapositiva21.JPG",".JPG","61.2","True"
"21","Light Cult Crypto Club #21","AJZGK5RS__Diapositiva21.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\AJZGK5RS__Diapositiva21.JPG",".JPG","134.5","True"
"21","Light Cult Crypto Club #21","T69MFDHB__Diapositiva21.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\T69MFDHB__Diapositiva21.JPG",".JPG","53.8","True"
"22","Light Cult Crypto Club #22","VFQBK4SM__Diapositiva22.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VFQBK4SM__Diapositiva22.JPG",".JPG","129.8","True"
"22","Light Cult Crypto Club #22","YEIFDUAL__Diapositiva22.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YEIFDUAL__Diapositiva22.JPG",".JPG","61.9","True"
"22","Light Cult Crypto Club #22","YMMKMPZ2__Diapositiva22.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YMMKMPZ2__Diapositiva22.JPG",".JPG","51","True"
"23","Light Cult Crypto Club #23","4KTPJ4BI__Diapositiva23.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\4KTPJ4BI__Diapositiva23.JPG",".JPG","125.2","True"
"23","Light Cult Crypto Club #23","AC8GD3ND__Diapositiva23.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\AC8GD3ND__Diapositiva23.JPG",".JPG","128.1","True"
"23","Light Cult Crypto Club #23","RV4787UR__Diapositiva23.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\RV4787UR__Diapositiva23.JPG",".JPG","116.5","True"
"24","Light Cult Crypto Club #24","3EBQLDQ8__Diapositiva24.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3EBQLDQ8__Diapositiva24.JPG",".JPG","156.4","True"
"24","Light Cult Crypto Club #24","5QWPW44U__Diapositiva24.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\5QWPW44U__Diapositiva24.JPG",".JPG","95","True"
"24","Light Cult Crypto Club #24","QSZ7EIXU__Diapositiva24.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QSZ7EIXU__Diapositiva24.JPG",".JPG","48.8","True"
"25","Light Cult Crypto Club #25","I667HKN8__Diapositiva25.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\I667HKN8__Diapositiva25.JPG",".JPG","131.6","True"
"25","Light Cult Crypto Club #25","QM2I4U8Z__Diapositiva25.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QM2I4U8Z__Diapositiva25.JPG",".JPG","62.4","True"
"25","Light Cult Crypto Club #25","ZBTEH94A__Diapositiva25.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\ZBTEH94A__Diapositiva25.JPG",".JPG","82.8","True"
"26","Light Cult Crypto Club #26","DVZP5JX9__Diapositiva26.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\DVZP5JX9__Diapositiva26.JPG",".JPG","42.9","True"
"26","Light Cult Crypto Club #26","TGCVZUSP__Diapositiva26.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TGCVZUSP__Diapositiva26.JPG",".JPG","97.6","True"
"26","Light Cult Crypto Club #26","VZXT7JUR__Diapositiva26.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VZXT7JUR__Diapositiva26.JPG",".JPG","65.2","True"
"27","Light Cult Crypto Club #27","IDC7KGVJ__Diapositiva27.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\IDC7KGVJ__Diapositiva27.JPG",".JPG","128.6","True"
"27","Light Cult Crypto Club #27","KVQ2SDIR__Diapositiva27.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\KVQ2SDIR__Diapositiva27.JPG",".JPG","120.2","True"
"27","Light Cult Crypto Club #27","YC8CSYJQ__Diapositiva27.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\YC8CSYJQ__Diapositiva27.JPG",".JPG","137.2","True"
"28","Light Cult Crypto Club #28","TB2K5FDC__Diapositiva28.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\TB2K5FDC__Diapositiva28.JPG",".JPG","123.1","True"
"28","Light Cult Crypto Club #28","VX3SH2M6__Diapositiva28.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\VX3SH2M6__Diapositiva28.JPG",".JPG","122.3","True"
"29","Light Cult Crypto Club #29","3SWBUQSZ__Diapositiva29.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\3SWBUQSZ__Diapositiva29.JPG",".JPG","76.7","True"
"29","Light Cult Crypto Club #29","7IX7Y3FW__Diapositiva29.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\7IX7Y3FW__Diapositiva29.JPG",".JPG","62.1","True"
"29","Light Cult Crypto Club #29","9YGGQK3V__Diapositiva29.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\9YGGQK3V__Diapositiva29.JPG",".JPG","80.6","True"
"30","Light Cult Crypto Club #30","8QRIPUAJ__Diapositiva30.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\8QRIPUAJ__Diapositiva30.JPG",".JPG","100","True"
"30","Light Cult Crypto Club #30","QFA2HIQC__Diapositiva30.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\QFA2HIQC__Diapositiva30.JPG",".JPG","42.5","True"
